time,AQI,PM10,PM2.5,O3,CO,NO2,SO2,longitude,latitude
2023-05-06 06:01:42.457,35,35,24,2,1,6,,120.590071213206,29.9247032160165
2023-05-06 06:01:53.47,35,35,24,2,1,7,,120.590030725052,29.9247877898154
2023-05-06 06:02:04.483,35,35,24,2,1,7,,120.590031903511,29.9247811889907
2023-05-06 06:02:15.496,35,34,24,2,1,6,,120.589999973135,29.9248035864067
2023-05-06 06:02:26.505,35,34,24,2,1,6,,120.58998749475,29.924812643235
2023-05-06 06:02:37.514,35,35,24,2,1,7,,120.589991840867,29.9248115909225
2023-05-06 06:02:48.524,35,34,24,2,1,9,,120.589991890825,29.9248116208972
2023-05-06 06:02:59.533,35,34,24,,1,11,,120.589991840887,29.924811860931
2023-05-06 06:03:10.544,35,34,24,,1,12,,120.589992090652,29.9248116407931
2023-05-06 06:03:21.552,35,34,24,,1,11,,120.589999855001,29.9248263171878
2023-05-06 06:03:32.56,35,33,24,,1,11,,120.590006719672,29.9248349538652
2023-05-06 06:03:43.569,35,33,24,2,1,10,,120.590009597319,29.9248370324243
2023-05-06 06:03:54.582,35,33,24,2,1,9,,120.590007848866,29.9248372833476
2023-05-06 06:04:05.595,35,33,24,2,1,9,,120.590008198539,29.924837013156
2023-05-06 06:04:16.609,36,33,25,,1,12,,120.590008268485,29.9248371031222
2023-05-06 06:04:27.627,36,34,25,,1,14,,120.590018120227,29.9248415781077
2023-05-06 06:04:38.642,36,34,25,,1,14,,120.590027532187,29.9248438532579
2023-05-06 06:04:49.655,36,34,25,,1,13,,120.590033427747,29.9248529204638
2023-05-06 06:05:00.668,35,33,24,,1,12,,120.590034696704,29.9248537498271
2023-05-06 06:05:11.682,35,33,24,,1,10,,120.590034806603,29.9248536897678
2023-05-06 06:05:22.7,35,33,24,2,1,9,,120.590034876539,29.92485364973
2023-05-06 06:05:33.716,35,33,24,2,1,9,,120.590034956471,29.9248536696888
2023-05-06 06:05:44.73,35,33,24,2,1,9,,120.590035076367,29.9248536696262
2023-05-06 06:05:55.744,33,33,23,2,1,8,,120.590035196257,29.9248535995614
2023-05-06 06:06:06.759,35,33,24,2,1,8,,120.590035406058,29.9248533994454
2023-05-06 06:06:17.772,35,33,24,2,1,8,,120.590035555921,29.9248533193646
2023-05-06 06:06:28.788,35,33,24,2,1,8,,120.590035675819,29.9248533493029
2023-05-06 06:06:39.8,35,33,24,2,1,8,,120.590035975542,29.9248531491401
2023-05-06 06:06:50.813,36,33,25,2,1,8,,120.590036225305,29.9248528990017
2023-05-06 06:07:01.825,36,34,25,2,1,8,,120.590036345188,29.9248527489343
2023-05-06 06:07:12.839,36,34,25,2,1,9,,120.59003642511,29.9248526388891
2023-05-06 06:07:23.855,36,34,25,2,1,10,,120.590036554989,29.9248525388181
2023-05-06 06:07:34.869,36,35,25,,1,13,,120.590036794788,29.9248526486963
2023-05-06 06:07:45.883,36,35,25,,1,17,,120.590036574968,29.9248524888061
2023-05-06 06:07:56.898,36,34,25,,1,17,,120.590036644903,29.924852438768
2023-05-06 06:08:07.914,35,34,24,,1,15,,120.590036744796,29.9248521887079
2023-05-06 06:08:18.927,35,34,24,,1,14,,120.590036874675,29.9248520886369
2023-05-06 06:08:29.937,35,34,24,,1,13,,120.590036994571,29.9248520885743
2023-05-06 06:08:40.949,35,33,24,,1,14,,120.59003712446,29.9248521185074
2023-05-06 06:08:51.962,35,33,24,,1,15,,120.590037304303,29.9248521184135
2023-05-06 06:09:02.974,35,33,24,,1,13,,120.5900374242,29.9248521383515
2023-05-06 06:09:13.987,35,32,24,,1,13,,120.590037673963,29.9248518982134
2023-05-06 06:09:24.999,35,32,24,,1,13,,120.590037743898,29.924851838175
2023-05-06 06:09:35.013,33,32,23,,1,14,,120.590037653972,29.9248517882204
2023-05-06 06:09:46.029,33,32,23,,1,13,,120.59003772391,29.9248517681832
2023-05-06 06:09:57.042,33,32,23,,1,14,,120.590038103571,29.9248516679818
2023-05-06 06:10:08.053,33,32,23,,1,13,,120.590036025329,29.9248509690451
2023-05-06 06:10:19.067,33,33,23,,1,13,,120.590026863504,29.9248533039063
2023-05-06 06:10:30.081,33,33,23,,1,13,,120.590026833519,29.9248531539173
2023-05-06 06:10:41.095,33,33,23,,1,13,,120.590026863493,29.9248531539016
2023-05-06 06:10:52.109,33,33,23,,1,13,,120.590026983384,29.9248531038373
2023-05-06 06:11:03.123,33,33,23,,1,14,,120.59002706332,29.9248531737978
2023-05-06 06:11:14.136,33,33,23,,1,14,,120.59002721318,29.9248530537156
2023-05-06 06:11:25.151,33,33,22,,1,13,,120.590027452955,29.924852853584
2023-05-06 06:11:36.162,33,33,22,,1,13,,120.59002763279,29.9248527534868
2023-05-06 06:11:47.177,32,32,22,,1,12,,120.590027602808,29.924852643499
2023-05-06 06:11:58.193,32,32,22,,1,12,,120.590027812621,29.9248526033881
2023-05-06 06:12:09.208,32,32,22,,1,11,,120.590028062397,29.924852523255
2023-05-06 06:12:20.223,33,32,23,,1,12,,120.590028212253,29.9248523531713
2023-05-06 06:12:31.237,33,32,23,,1,12,,120.590028312158,29.9248522431156
2023-05-06 06:12:42.249,33,32,23,,1,11,,120.590028412061,29.9248521230596
2023-05-06 06:12:53.263,35,32,24,2,1,10,,120.59002843204,29.9248520730475
2023-05-06 06:13:04.279,35,33,24,2,1,9,,120.590028452021,29.9248520530365
2023-05-06 06:13:15.292,36,33,25,2,1,10,,120.590028302117,29.9248516031006
2023-05-06 06:13:26.305,36,34,25,2,1,10,,120.590029181297,29.9248509226195
2023-05-06 06:13:37.319,38,34,26,2,1,9,,120.590028781697,29.9248515928496
2023-05-06 06:13:48.331,38,34,26,2,1,9,,120.590028312187,29.9248526231276
2023-05-06 06:13:59.344,38,35,26,2,1,8,,120.590028052425,29.9248527732681
2023-05-06 06:14:10.357,38,35,26,2,1,7,,120.590028202293,29.9248527531891
2023-05-06 06:14:21.369,38,35,26,2,1,7,,120.590028202301,29.9248528531923
2023-05-06 06:14:32.38,38,35,26,2,1,7,,120.590028252253,29.9248527931643
2023-05-06 06:14:43.394,36,35,25,2,1,7,,120.590028312204,29.9248528431345
2023-05-06 06:14:54.408,36,35,25,2,1,7,,120.590028282229,29.9248528231495
2023-05-06 06:15:05.421,36,35,25,2,1,8,,120.590028352164,29.9248527731114
2023-05-06 06:15:16.435,36,35,25,2,1,8,,120.59002843209,29.9248527230681
2023-05-06 06:15:27.451,35,34,24,2,1,8,,120.59002850202,29.9248526030277
2023-05-06 06:15:38.464,35,34,24,2,1,8,,120.590028512011,29.9248526030225
2023-05-06 06:15:49.477,35,34,24,2,1,8,,120.590028502019,29.9248525930274
2023-05-06 06:16:00.49,35,34,24,2,1,8,,120.590028382131,29.9248526930932
2023-05-06 06:16:11.503,35,34,24,2,1,8,,120.590028561975,29.9248526929992
2023-05-06 06:16:22.515,35,34,24,2,1,6,,120.590028701853,29.9248527029264
2023-05-06 06:16:33.528,35,34,24,2,1,7,,120.590028911668,29.9248526728158
2023-05-06 06:16:44.543,35,34,24,2,1,8,,120.590029011581,29.9248526727636
2023-05-06 06:16:55.555,35,34,24,2,1,8,,120.590029011574,29.9248525927611
2023-05-06 06:17:06.569,35,33,24,2,1,8,,120.590029181421,29.9248525226701
2023-05-06 06:17:17.584,35,34,24,2,1,9,,120.590029281335,29.9248525426185
2023-05-06 06:17:28.597,35,34,24,2,1,10,,120.590029511124,29.924852402494
2023-05-06 06:17:39.61,35,34,24,2,1,10,,120.59002970095,29.9248522923913
2023-05-06 06:17:50.624,35,34,24,2,1,9,,120.590029910769,29.9248523222826
2023-05-06 06:18:01.638,35,35,24,2,1,8,,120.590030110588,29.9248522421756
2023-05-06 06:18:12.654,35,35,24,2,1,7,,120.590030250462,29.9248521921009
2023-05-06 06:18:23.668,35,35,24,2,1,7,,120.590030360371,29.9248522520454
2023-05-06 06:18:34.681,35,34,24,2,1,7,,120.590030480266,29.9248522419824
2023-05-06 06:18:45.697,35,34,24,2,1,7,,120.590030610149,29.9248522019133
2023-05-06 06:18:56.711,34,34,23,2,1,7,,120.590030809976,29.9248522218095
2023-05-06 06:19:07.726,34,34,23,2,1,7,,120.590030949856,29.924852241737
2023-05-06 06:19:18.741,34,34,23,2,1,7,,120.590031029786,29.9248522416952
2023-05-06 06:19:29.755,34,34,23,2,1,8,,120.59003097983,29.9248522417213
2023-05-06 06:19:40.77,35,33,24,2,1,8,,120.590031149689,29.9248523416357
2023-05-06 06:19:51.786,35,33,24,2,1,8,,120.590031099737,29.9248523916634
2023-05-06 06:20:02.799,35,33,24,2,1,9,,120.590031049784,29.9248524416911
2023-05-06 06:20:13.813,36,33,25,2,1,8,,120.590030999824,29.9248523917156
2023-05-06 06:20:24.822,36,34,25,2,1,8,,120.590030829977,29.9248524518063
2023-05-06 06:20:35.833,36,34,25,2,1,7,,120.590030929886,29.9248524017525
2023-05-06 06:20:46.845,36,34,25,2,1,6,,120.590030929876,29.9248522717484
2023-05-06 06:20:57.855,36,34,25,2,1,6,,120.590030849945,29.9248522717902
2023-05-06 06:21:08.864,36,35,25,2,1,7,,120.590030849943,29.9248522417892
2023-05-06 06:21:19.873,36,35,25,2,1,7,,120.590030979826,29.9248521917198
2023-05-06 06:21:30.883,36,36,25,2,1,7,,120.590031259582,29.9248521915736
2023-05-06 06:21:41.896,36,36,25,2,1,8,,120.590031499373,29.9248522014486
2023-05-06 06:21:52.908,37,37,25,2,1,7,,120.590041870645,29.9248562961612
2023-05-06 06:22:03.917,36,36,25,2,1,7,,120.59004416867,29.9248566649732
2023-05-06 06:22:14.925,36,36,25,2,1,7,,120.590055059275,29.9248579093308
2023-05-06 06:22:25.932,36,36,25,2,1,6,,120.590065470709,29.9248643841087
2023-05-06 06:22:36.938,36,36,24,2,1,6,,120.590065870369,29.9248644839037
2023-05-06 06:22:47.949,35,35,24,2,1,7,,120.590065750457,29.9248642739595
2023-05-06 06:22:58.96,35,35,24,2,1,7,,120.59007196477,29.9248607006098
2023-05-06 06:23:09.971,35,34,24,2,1,7,,120.590067518356,29.9248570328096
2023-05-06 06:23:20.982,35,34,24,2,1,7,,120.590065829919,29.9248582237268
2023-05-06 06:23:31.991,35,34,24,2,1,7,,120.590064621205,29.9248612344518
2023-05-06 06:23:42.001,35,34,24,2,1,7,,120.59006403165,29.9248603547311
2023-05-06 06:23:53.014,35,33,24,2,1,7,,120.590064121561,29.9248602246802
2023-05-06 06:24:04.033,36,33,25,2,1,7,,120.59006420148,29.9248600746338
2023-05-06 06:24:15.043,36,33,25,2,1,7,,120.590064131528,29.9248599046649
2023-05-06 06:24:26.056,36,33,25,2,1,6,,120.590064021614,29.9248597847183
2023-05-06 06:24:37.07,36,34,25,2,1,7,,120.590064021604,29.9248596547142
2023-05-06 06:24:48.084,36,34,25,2,1,6,,120.590064121523,29.9248597246644
2023-05-06 06:24:59.098,35,34,24,2,1,6,,120.590064101542,29.9248597546757
2023-05-06 06:25:10.111,35,35,24,2,1,6,,120.590064001615,29.9248595747221
2023-05-06 06:25:21.123,35,35,24,2,1,7,,120.590064071545,29.9248594546819
2023-05-06 06:25:32.137,35,35,24,2,1,7,,120.590064121502,29.9248594546559
2023-05-06 06:25:43.146,36,35,25,2,1,6,,120.590064131493,29.9248594546506
2023-05-06 06:25:54.156,36,35,25,2,1,6,,120.590064201428,29.9248594046126
2023-05-06 06:26:05.167,36,35,25,2,1,6,,120.590064201411,29.9248591846057
2023-05-06 06:26:16.176,36,35,25,2,1,6,,120.590064151443,29.924859034627
2023-05-06 06:26:27.186,36,35,25,2,1,7,,120.590064181408,29.9248589246079
2023-05-06 06:26:38.198,36,35,25,2,1,8,,120.590064201386,29.9248588545953
2023-05-06 06:26:49.21,35,34,24,2,1,7,,120.590064271322,29.9248588245579
2023-05-06 06:27:00.223,35,34,24,2,1,7,,120.590064231348,29.9248587045749
2023-05-06 06:27:11.237,35,34,24,2,1,7,,120.590064271309,29.9248586545525
2023-05-06 06:27:22.251,35,34,24,2,1,7,,120.590064271303,29.92485857455
2023-05-06 06:27:33.261,33,33,23,2,1,7,,120.59006432126,29.9248585745239
2023-05-06 06:27:44.276,33,33,23,2,1,7,,120.590064371216,29.9248585744979
2023-05-06 06:27:55.291,35,33,24,2,1,8,,120.590064251305,29.9248583745541
2023-05-06 06:28:06.305,35,33,24,2,1,7,,120.590064231311,29.9248582245597
2023-05-06 06:28:17.318,35,33,24,2,1,7,,120.590064351195,29.9248580844928
2023-05-06 06:28:28.33,35,33,24,2,1,6,,120.590064351191,29.9248580244909
2023-05-06 06:28:39.342,33,33,23,2,1,7,,120.590064301227,29.9248579245138
2023-05-06 06:28:50.352,33,33,23,2,1,7,,120.590064301221,29.9248578545116
2023-05-06 06:29:01.366,33,33,23,2,1,6,,120.590064431103,29.9248577844417
2023-05-06 06:29:12.38,33,33,23,2,1,7,,120.590064431094,29.9248576744382
2023-05-06 06:29:23.391,33,33,23,2,1,8,,120.590064371135,29.9248575344651
2023-05-06 06:29:34.402,33,33,23,2,1,8,,120.590064351145,29.9248574344723
2023-05-06 06:29:45.416,33,33,23,2,1,8,,120.590064351147,29.9248574544729
2023-05-06 06:29:56.429,34,34,23,2,1,8,,120.590064331162,29.9248574244824
2023-05-06 06:30:07.444,34,34,23,2,1,7,,120.590063931469,29.9248569046742
2023-05-06 06:30:18.457,34,34,23,2,1,7,,120.590059725113,29.9248566568586
2023-05-06 06:30:29.468,35,34,24,2,1,8,,120.590056438279,29.9248605586955
2023-05-06 06:30:40.486,35,34,24,2,1,8,,120.590056857567,29.9248560883355
2023-05-06 06:30:51.505,35,35,24,2,1,8,,120.590041120818,29.9248500963566
2023-05-06 06:31:02.525,35,34,24,2,1,8,,120.590039741965,29.9248493870541
2023-05-06 06:31:13.542,35,34,24,2,1,8,,120.590039891842,29.924849486979
2023-05-06 06:31:24.559,35,35,24,2,1,9,,120.590039851892,29.9248496870062
2023-05-06 06:31:35.573,35,35,24,2,1,9,,120.590039851897,29.9248497470081
2023-05-06 06:31:46.586,35,34,24,2,1,9,,120.590040091676,29.9248495968781
2023-05-06 06:31:57.598,34,34,23,2,1,9,,120.590040241542,29.9248495467983
2023-05-06 06:32:08.612,34,34,23,2,1,10,,120.590040421388,29.9248495867056
2023-05-06 06:32:19.629,33,33,23,2,1,9,,120.590040471341,29.9248495466783
2023-05-06 06:32:30.645,33,32,23,2,1,8,,120.590040601228,29.9248495466105
2023-05-06 06:32:41.659,32,32,22,2,1,7,,120.590040821036,29.9248495364954
2023-05-06 06:32:52.671,33,32,23,2,1,8,,120.590041100785,29.9248494463465
2023-05-06 06:33:03.685,33,32,23,2,1,8,,120.590041320585,29.9248493362282
2023-05-06 06:33:14.702,33,32,23,2,1,8,,120.590041370553,29.9248494862069
2023-05-06 06:33:25.715,35,32,24,2,1,7,,120.590042349692,29.9248493956929
2023-05-06 06:33:36.73,35,32,24,2,1,7,,120.59004248955,29.9248491356116
2023-05-06 06:33:47.743,35,32,24,2,1,7,,120.590042519524,29.9248491455963
2023-05-06 06:33:58.757,36,32,25,2,1,7,,120.590042569473,29.9248490455671
2023-05-06 06:34:09.77,36,32,25,2,1,7,,120.590042619426,29.9248489955394
2023-05-06 06:34:20.784,36,33,25,2,1,7,,120.590042689365,29.9248489955029
2023-05-06 06:34:31.797,35,33,24,2,1,7,,120.590042689351,29.9248488154972
2023-05-06 06:34:42.812,35,34,24,2,1,8,,120.590042989099,29.9248489353445
2023-05-06 06:34:53.827,35,34,24,2,1,9,,120.590042939147,29.9248489953725
2023-05-06 06:35:04.84,35,34,24,2,1,9,,120.590042939131,29.9248487953662
2023-05-06 06:35:15.854,35,34,24,2,1,9,,120.590042939129,29.9248487653652
2023-05-06 06:35:26.865,33,33,23,2,1,9,,120.590042969101,29.9248487453489
2023-05-06 06:35:37.882,33,33,23,2,1,8,,120.590042969109,29.9248488453521
2023-05-06 06:35:48.895,33,33,23,2,1,8,,120.590043039046,29.9248488153146
2023-05-06 06:35:59.907,33,33,23,2,1,8,,120.590042869182,29.9248486653986
2023-05-06 06:36:10.92,33,33,23,2,1,8,,120.590042769265,29.9248486154492
2023-05-06 06:36:21.933,33,33,23,2,1,8,,120.590042819224,29.924848645424
2023-05-06 06:36:32.948,33,33,23,2,1,9,,120.590042889179,29.9248488453938
2023-05-06 06:36:43.962,33,33,23,2,1,10,,120.590042899178,29.9248489453918
2023-05-06 06:36:54.976,33,33,23,2,1,10,,120.590043019073,29.9248489453292
2023-05-06 06:37:05.991,33,33,23,2,1,10,,120.590042969116,29.9248489353549
2023-05-06 06:37:16.003,33,33,23,2,1,9,,120.59004306902,29.924848815299
2023-05-06 06:37:27.018,35,34,24,2,1,10,,120.590043248855,29.924848715202
2023-05-06 06:37:38.034,35,33,24,2,1,10,,120.590043688487,29.9248489149788
2023-05-06 06:37:49.047,35,34,24,2,1,10,,120.590043988231,29.9248489848245
2023-05-06 06:38:00.06,35,34,24,,1,10,,120.59004414809,29.9248489647405
2023-05-06 06:38:11.072,35,34,24,,1,10,,120.590044238017,29.9248490346957
2023-05-06 06:38:22.084,35,34,24,2,1,9,,120.590044447838,29.9248490845878
2023-05-06 06:38:33.1,35,35,24,2,1,10,,120.590044547763,29.9248492345404
2023-05-06 06:38:44.114,35,35,24,,1,10,,120.590044697645,29.9248493944672
2023-05-06 06:38:55.128,35,35,24,,1,10,,120.590044667659,29.9248492444781
2023-05-06 06:39:06.141,36,35,25,,1,10,,120.59004419806,29.9248491347198
2023-05-06 06:39:17.157,36,35,25,,1,11,,120.590044148088,29.9248489347395
2023-05-06 06:39:28.172,36,36,25,,1,11,,120.590044417853,29.9248489345987
2023-05-06 06:39:39.186,36,36,25,,1,10,,120.590044587703,29.9248489145094
2023-05-06 06:39:50.2,36,36,25,,1,10,,120.590044717604,29.9248490944473
2023-05-06 06:40:01.214,36,35,25,,1,12,,120.590044847495,29.9248491443811
2023-05-06 06:40:12.227,36,35,25,,1,12,,120.590044787552,29.9248492144146
2023-05-06 06:40:23.239,36,35,25,,1,10,,120.590044597719,29.9248492345143
2023-05-06 06:40:34.252,35,35,24,,1,10,,120.590044637693,29.9248493444969
2023-05-06 06:40:45.264,35,34,24,,1,11,,120.590044847514,29.924849394389
2023-05-06 06:40:56.277,35,34,24,,1,10,,120.5900448675,29.9248494443801
2023-05-06 06:41:07.289,35,34,24,,1,10,,120.590044937436,29.9248493943421
2023-05-06 06:41:18.305,34,34,23,,1,10,,120.590044837513,29.9248492643901
2023-05-06 06:41:29.317,33,33,23,,1,9,,120.590044867479,29.9248491643713
2023-05-06 06:41:40.328,33,33,23,2,1,9,,120.590044817509,29.924848994392
2023-05-06 06:41:51.34,33,33,23,2,1,9,,120.590044817494,29.9248487943857
2023-05-06 06:42:02.35,33,33,23,,1,9,,120.590044787521,29.924848814402
2023-05-06 06:42:13.365,33,33,23,2,1,9,,120.590044967368,29.9248488643097
2023-05-06 06:42:24.377,35,34,24,,1,10,,120.590045167196,29.924848884206
2023-05-06 06:42:35.39,35,34,24,,1,10,,120.590044937396,29.924848884326
2023-05-06 06:42:46.404,35,34,24,,1,10,,120.590044717592,29.9248489444426
2023-05-06 06:42:57.417,36,33,25,,1,11,,120.590044767553,29.9248489944181
2023-05-06 06:43:08.43,36,33,25,,1,10,,120.590044737579,29.9248489944337
2023-05-06 06:43:19.443,36,33,25,2,1,10,,120.59004488744,29.9248488943523
2023-05-06 06:43:30.454,36,33,25,,1,10,,120.590044867465,29.9248489843656
2023-05-06 06:43:41.467,36,33,25,,1,9,,120.590044897447,29.9248490943534
2023-05-06 06:43:52.481,36,33,25,,1,9,,120.590044987373,29.9248491443081
2023-05-06 06:44:03.496,36,33,25,,1,10,,120.59004498738,29.9248492343109
2023-05-06 06:44:14.508,36,34,25,,1,10,,120.590045037335,29.9248492142842
2023-05-06 06:44:25.525,36,34,25,2,1,9,,120.590045117269,29.9248492642441
2023-05-06 06:44:36.539,36,33,25,2,1,9,,120.590045117273,29.9248493142457
2023-05-06 06:44:47.551,36,33,25,2,1,9,,120.590045167231,29.9248493442205
2023-05-06 06:44:58.561,36,33,25,,1,10,,120.59004514725,29.9248493642316
2023-05-06 06:45:09.57,35,33,24,2,1,9,,120.59004513725,29.924849244233
2023-05-06 06:45:20.579,35,33,24,2,1,9,,120.59004513725,29.924849244233
2023-05-06 06:45:31.591,35,33,24,2,1,9,,120.59004514724,29.9248492342275
2023-05-06 06:45:42.601,33,33,23,2,1,9,,120.59004526714,29.9248492841665
2023-05-06 06:45:53.613,33,32,23,2,1,10,,120.590045297114,29.9248492941512
2023-05-06 06:46:04.626,33,33,23,,1,9,,120.590045317093,29.9248492441392
2023-05-06 06:46:15.638,33,33,23,,1,10,,120.590045367043,29.9248491641106
2023-05-06 06:46:26.65,33,32,23,,1,10,,120.590045416997,29.9248491340835
2023-05-06 06:46:37.662,33,32,23,,1,11,,120.59004546695,29.9248490840559
2023-05-06 06:46:48.675,33,32,23,,1,15,,120.590045616818,29.924849063977
2023-05-06 06:46:59.686,33,32,23,,1,15,,120.590045616818,29.924849063977
2023-05-06 06:47:10.694,33,32,23,,1,9,,120.590045636806,29.9248491339688
2023-05-06 06:47:21.702,35,33,24,2,1,7,,120.590045616819,29.9248490839777
2023-05-06 06:47:32.714,35,33,24,2,1,8,,120.590045616823,29.9248491339792
2023-05-06 06:47:43.725,35,34,24,2,1,8,,120.590045666778,29.9248491139525
2023-05-06 06:47:54.737,35,34,24,2,1,9,,120.590045686759,29.9248490939415
2023-05-06 06:48:05.748,35,34,24,2,1,10,,120.590045646796,29.924849113963
2023-05-06 06:48:16.761,77,34,24,,1,14,336,120.590045566868,29.9248491440056
2023-05-06 06:48:27.775,36,35,25,,1,28,85,120.590045486939,29.924849164048
2023-05-06 06:48:38.789,36,35,25,,1,40,,120.590045397017,29.9248491640949
2023-05-06 06:48:49.802,49,35,25,,1,35,146,120.59004544697,29.9248491140673
2023-05-06 06:49:00.815,35,35,24,,1,34,20,120.590045496932,29.9248491840434
2023-05-06 06:49:11.826,35,35,24,,1,37,,120.59004546696,29.92484921406
2023-05-06 06:49:22.839,35,35,24,,1,31,,120.590045436985,29.924849194075
2023-05-06 06:49:33.852,35,34,24,,1,24,,120.590045317083,29.9248491141351
2023-05-06 06:49:44.862,34,34,23,,1,24,,120.590045237157,29.9248491641784
2023-05-06 06:49:55.872,34,34,23,,1,28,,120.59004521717,29.9248491141872
2023-05-06 06:50:06.883,34,34,23,,1,30,,120.590045187192,29.9248490642013
2023-05-06 06:50:17.895,34,34,23,,1,29,,120.590045137226,29.9248489342232
2023-05-06 06:50:28.908,34,34,23,,1,31,,120.590045097259,29.9248489142435
2023-05-06 06:50:39.919,35,33,24,,1,33,,120.590045137226,29.9248489342232
2023-05-06 06:50:50.93,35,33,24,,1,31,,120.59004519718,29.9248490141945
2023-05-06 06:51:01.943,35,33,24,,1,28,,120.590008175381,29.9249249359475
2023-05-06 06:51:05.949,35,33,24,2,1,27,31,120.589870808183,29.9249542392239
2023-05-06 06:51:07.951,35,33,24,2,1,27,34,120.589746017605,29.9249420453053
2023-05-06 06:51:10.955,35,33,24,2,1,28,24,120.589610030849,29.9249681493617
2023-05-06 06:51:15.96,35,33,24,4,1,29,3,120.58951112213,29.9250002741661
2023-05-06 06:51:18.962,36,33,25,7,1,29,,120.589380589519,29.9249926955927
2023-05-06 06:51:20.964,35,33,24,8,1,28,,120.589241743831,29.9249646017817
2023-05-06 06:51:22.965,35,33,24,11,1,28,,120.589098052366,29.9249200610591
2023-05-06 06:51:24.967,35,32,24,14,1,30,,120.588923430766,29.9248750989473
2023-05-06 06:51:26.969,35,33,24,15,1,32,,120.588728459982,29.9248304400472
2023-05-06 06:51:28.971,35,32,24,15,1,34,,120.588522033376,29.9248016101327
2023-05-06 06:51:29.971,35,32,24,14,1,35,,120.588409940379,29.9247992565696
2023-05-06 06:51:30.972,35,32,24,14,1,36,,120.588289375066,29.9247818681924
2023-05-06 06:51:31.973,35,32,24,14,1,36,,120.588163966057,29.9247750037456
2023-05-06 06:51:32.975,35,32,24,13,1,35,,120.588033153316,29.924769883377
2023-05-06 06:51:33.975,35,32,24,14,1,35,,120.587903799767,29.9247611027638
2023-05-06 06:51:34.976,35,32,24,14,1,35,,120.587767114313,29.9247512474546
2023-05-06 06:51:35.977,35,32,24,14,1,35,,120.587651118632,29.9247345697255
2023-05-06 06:51:36.979,35,32,24,14,1,35,,120.587518960162,29.9247208029741
2023-05-06 06:51:37.98,33,32,23,15,1,35,,120.587391408298,29.9247114341943
2023-05-06 06:51:38.981,33,32,23,15,1,35,,120.587273597089,29.9246984997301
2023-05-06 06:51:39.982,33,32,23,15,1,35,,120.587150452298,29.9246881594574
2023-05-06 06:51:40.984,33,32,23,15,1,35,,120.587033492249,29.9246819359295
2023-05-06 06:51:41.985,33,32,23,14,1,35,,120.586912376917,29.924671435642
2023-05-06 06:51:42.985,33,32,23,13,1,35,,120.586786597433,29.9246633192147
2023-05-06 06:51:43.986,33,32,23,13,1,36,,120.586661208411,29.9246555632506
2023-05-06 06:51:44.987,33,32,23,12,1,35,,120.586532223019,29.9246346500284
2023-05-06 06:51:45.987,33,31,23,12,1,35,,120.586393589908,29.9246279146347
2023-05-06 06:51:46.988,33,31,23,12,1,35,,120.586264546749,29.9246112031462
2023-05-06 06:51:47.989,33,31,23,11,1,35,,120.586138241549,29.9245948605089
2023-05-06 06:51:48.989,33,31,23,10,1,35,,120.586007972297,29.9245886117054
2023-05-06 06:51:49.99,33,31,23,8,1,33,,120.585886564102,29.9245804173138
2023-05-06 06:51:50.99,32,31,22,7,1,32,,120.585761650186,29.9245674859464
2023-05-06 06:51:51.991,32,31,22,7,1,31,,120.585629534939,29.9245527304216
2023-05-06 06:51:52.992,32,31,22,7,1,30,,120.585497661869,29.924557496129
2023-05-06 06:51:53.993,32,31,22,7,1,29,,120.585372780806,29.9245483670528
2023-05-06 06:51:54.994,32,31,22,7,1,28,,120.585245373367,29.9245384805237
2023-05-06 06:51:55.995,32,31,22,7,1,27,,120.585121662,29.92452087173
2023-05-06 06:51:56.995,32,31,22,8,1,26,,120.585014103126,29.9245046515604
2023-05-06 06:51:57.996,32,30,22,8,1,26,,120.584910569551,29.9244793785893
2023-05-06 06:51:58.997,32,30,22,8,1,25,,120.584805360653,29.9244821082634
2023-05-06 06:52:00.999,30,30,21,8,1,25,,120.584664250777,29.9244441845873
2023-05-06 06:52:07.005,30,30,21,5,1,21,,120.58456771002,29.9244064174703
2023-05-06 06:52:10.008,30,29,21,3,1,21,,120.584432566544,29.9243891413346
2023-05-06 06:52:12.009,29,29,20,2,1,22,,120.584338809628,29.9244276454821
2023-05-06 06:52:14.01,29,29,20,2,1,22,,120.584272963094,29.9245031893353
2023-05-06 06:52:16.013,29,29,20,2,1,23,,120.584250569075,29.9246259907779
2023-05-06 06:52:18.015,29,29,20,2,1,22,,120.584247965709,29.9248005783525
2023-05-06 06:52:19.016,29,29,20,2,1,22,,120.584238953726,29.9248954284208
2023-05-06 06:52:20.018,29,28,20,,1,22,,120.584235016233,29.9249965347048
2023-05-06 06:52:21.019,29,28,20,,1,21,,120.584234375519,29.9251063486731
2023-05-06 06:52:22.02,28,28,19,,1,21,,120.584230838999,29.9252260752209
2023-05-06 06:52:23.021,28,28,19,,1,21,,120.584222218795,29.9253496858766
2023-05-06 06:52:24.022,28,28,19,,1,21,,120.584217084367,29.9254719737498
2023-05-06 06:52:25.023,28,28,19,,1,21,,120.584212119706,29.9255938314714
2023-05-06 06:52:26.024,28,28,19,,1,21,,120.584205887471,29.9257275905566
2023-05-06 06:52:27.025,28,28,19,,1,21,,120.584201052927,29.9258528982735
2023-05-06 06:52:28.026,28,28,19,,1,21,,120.584188377711,29.9259787021674
